,summary,Krise,Energiequelle,Energiewende,Folgen,word
reagier landkreis,2.160263467788174,0.04769620399616337,-0.03868512361150734,-0.09485129463683917,-0.10154553799094969,reagier landkreis
landkreis licht,2.05941457183123,0.021150821859065735,0.009123312493114795,-0.04704285853221695,-0.05373710188632768,landkreis licht
ausgeht,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,ausgeht
licht ausgeh,2.039226238268577,0.015429737531996812,0.018974625534766767,-0.037191545490564935,-0.04388578884467543,licht ausgeh
Kommunen,3.4232102693980733,0.22781626865134055,-0.49903371958300435,-0.5551998906083361,-0.5618941339624468,Kommunen
mehr kommune,2.3152830435840213,0.08288695847616492,-0.10798687863755102,-0.16415304966288274,-0.1708472930169934,mehr kommune
Städte,3.425817057887396,0.22803078142078942,-0.49979493383741735,-0.5559611048627494,-0.56265534821686,Städte
kommune stadt,2.6115570025424835,0.13611183513171254,-0.228401529692067,-0.2845677007173988,-0.29126194407150935,kommune stadt
stadt bereit,2.2478916914010485,0.06833523570641563,-0.07844768441503397,-0.13461385544036578,-0.14130809879447626,stadt bereit
Blackout,3.85748131231766,0.2590635484614627,-0.6184693942633508,-0.6746355652886825,-0.6813298086427932,Blackout
möglich blackout,2.970168477839404,0.18385953580033265,-0.35707361127699444,-0.41323978230232605,-0.4199340256564368,möglich blackout
Ebersberg,2.112937978647112,0.035642144016453076,-0.016534319456136645,-0.07270049048146833,-0.07939473383557898,Ebersberg
landkreis ebersberg,2.112937978647112,0.035642144016453076,-0.016534319456136645,-0.07270049048146833,-0.07939473383557898,landkreis ebersberg
Notfallplan,2.09435442459888,0.030718207212864758,-0.007700288862525729,-0.06386645988785765,-0.07056070324196813,Notfallplan
ein notfallplan,2.09435442459888,0.030718207212864758,-0.007700288862525729,-0.06386645988785765,-0.07056070324196813,ein notfallplan
Kreisstadt,2.0727651892316934,0.024855479688239653,0.0026615104288910396,-0.05350466059644075,-0.060198903950551524,Kreisstadt
notfallplan kreisstadt,2.0727651892316934,0.024855479688239653,0.0026615104288910396,-0.05350466059644075,-0.060198903950551524,notfallplan kreisstadt
Blaupause,2.0523366443511217,0.01916156455355017,0.012566095919957724,-0.043600075105374184,-0.05029431845948473,Blaupause
kreisstadt blaupause,2.0523366443511217,0.01916156455355017,0.012566095919957724,-0.043600075105374184,-0.05029431845948473,kreisstadt blaupause
gesprengten,1.799150925219201,-0.06588750444809208,0.14423022107273129,0.08806405004739941,0.08136980669328883,gesprengten
Pipe…,1.797131426825694,-0.06669644635232597,0.145353324549095,0.0891871535237631,0.0824929101696525,Pipe…
gesprengt pipe…,1.797131426825694,-0.06669644635232597,0.145353324549095,0.0891871535237631,0.0824929101696525,gesprengt pipe…
+9755,1.795990815178081,-0.06715443026789684,0.14598821065043183,0.08982203962510005,0.08312779627098937,+9755
pipe… +9755,1.795990815178081,-0.06715443026789684,0.14598821065043183,0.08982203962510005,0.08312779627098937,pipe… +9755
+9755 chars,1.7950340921645098,-0.06753918926358607,0.14652105186478875,0.09035488083945693,0.08366063748534645,+9755 chars
krise treib,3.09399710890237,-0.485691554175711,-0.3979187512557647,1.2278234837982283,-0.46077916563520716,krise treib
treib energiewende,3.713919714006162,-0.6607906450884041,-0.5805427791001476,1.4023324428514832,-0.64340319347959,treib energiewende
energiewende klimaziel,2.838017358061814,-0.3689713256487868,-0.31156062854601896,1.0842205288096558,-0.3744210429254614,energiewende klimaziel
klimaziel bleib,2.6919295492914324,-0.28991220889055574,-0.2587131745691104,0.9653499552655254,-0.3215735889485529,klimaziel bleib
bleib weit,2.658767091071857,-0.2613574501035446,-0.24631744927344199,0.9198926021670013,-0.30917786365288435,bleib weit
